Squidlett Overdrive,ıиκΩOmega,Splat Zones on Humpback Pump Track,Rainmaker on Manta Maria,Tower Control on Kelp Dome,Splat Zones on Walleye Warehouse,Rainmaker on Kelp Dome,Tower Control on Sturgeon Shipyard,Clam Blitz on Arowana Mall,Splat Zones on Goby Arena,Rainmaker on Port Mackerel
Annaki!,Miruku,Splat Zones on Camp Triggerfish,Clam Blitz on Blackbelly Skatepark,Rainmaker on Port Mackerel,Tower Control on The Reef,Splat Zones on Piranha Pit,Clam Blitz on Inkblot Art Academy,Rainmaker on Manta Maria,Tower Control on Arowana Mall,Splat Zones on MakoMart
Depth First Squids,Yurika,Tower Control on Kelp Dome,Splat Zones on The Reef,Tower Control on Humpback Pump Track,Clam Blitz on Inkblot Art Academy,Rainmaker on Kelp Dome,Splat Zones on Humpback Pump Track,Tower Control on Camp Triggerfish,Splat Zones on MakoMart,Tower Control on The Reef
Squid Armada,All The Way NA,Splat Zones on Goby Arena,Tower Control on Sturgeon Shipyard,Rainmaker on Camp Triggerfish,Splat Zones on Piranha Pit,Tower Control on Kelp Dome,Rainmaker on Sturgeon Shipyard,Splat Zones on The Reef,Tower Control on Snapper Canal,Rainmaker on Kelp Dome
Calamity Forge,Endless Oceans,Splat Zones on Walleye Warehouse,Rainmaker on Manta Maria,Splat Zones on Camp Triggerfish,Clam Blitz on Snapper Canal,Rainmaker on Camp Triggerfish,Tower Control on Manta Maria,Splat Zones on Goby Arena,Rainmaker on Moray Towers,Splat Zones on Humpback Pump Track
Planet Mars,Sleeping With the Squids,Rainmaker on MakoMart,Clam Blitz on Camp Triggerfish,Splat Zones on Goby Arena,Tower Control on Humpback Pump Track,Rainmaker on Moray Towers,Clam Blitz on Piranha Pit,Splat Zones on Camp Triggerfish,Tower Control on Kelp Dome,Rainmaker on Manta Maria
Divine Nerd Squad,いんふすく | InfSq,Tower Control on Snapper Canal,Splat Zones on MakoMart,Clam Blitz on Camp Triggerfish,Tower Control on Kelp Dome,Rainmaker on Camp Triggerfish,Splat Zones on Piranha Pit,Clam Blitz on Starfish Mainstage,Tower Control on The Reef,Splat Zones on Goby Arena
☆All Star Squad☆,Toxic Revolution,Splat Zones on Inkblot Art Academy,Tower Control on Sturgeon Shipyard,Rainmaker on Shellendorf Institute,Splat Zones on Walleye Warehouse,Clam Blitz on Starfish Mainstage,Tower Control on Arowana Mall,Rainmaker on Sturgeon Shipyard,Splat Zones on Camp Triggerfish,Tower Control on The Reef
Mörder Squid,Planet Mars,Splat Zones on Humpback Pump Track,Tower Control on Sturgeon Shipyard,Rainmaker on Moray Towers,Clam Blitz on Piranha Pit,Splat Zones on Walleye Warehouse,Tower Control on Snapper Canal,Rainmaker on Manta Maria,Splat Zones on Inkblot Art Academy,Tower Control on Manta Maria
Watch Me Whiprays,Divine Nerd Squad,Tower Control on Manta Maria,Rainmaker on Kelp Dome,Clam Blitz on Snapper Canal,Splat Zones on Camp Triggerfish,Tower Control on Kelp Dome,Rainmaker on Camp Triggerfish,Clam Blitz on Camp Triggerfish,Splat Zones on Piranha Pit,Tower Control on Humpback Pump Track
Dynasty,Annaki!,Clam Blitz on Blackbelly Skatepark,Splat Zones on Humpback Pump Track,Tower Control on Camp Triggerfish,Rainmaker on Camp Triggerfish,Clam Blitz on Snapper Canal,Splat Zones on Inkblot Art Academy,Tower Control on Kelp Dome,Rainmaker on Port Mackerel,Clam Blitz on Starfish Mainstage
Not Your Average,Dynasty,Tower Control on Kelp Dome,Splat Zones on Piranha Pit,Rainmaker on Moray Towers,Clam Blitz on Piranha Pit,Tower Control on Sturgeon Shipyard,Splat Zones on Inkblot Art Academy,Rainmaker on Kelp Dome,Clam Blitz on Musselforge Fitness,Tower Control on Camp Triggerfish
Painmakers,Not Your Average,Rainmaker on Camp Triggerfish,Splat Zones on Humpback Pump Track,Tower Control on Sturgeon Shipyard,Clam Blitz on Piranha Pit,Rainmaker on Port Mackerel,Splat Zones on Piranha Pit,Tower Control on The Reef,Clam Blitz on Blackbelly Skatepark,Rainmaker on Moray Towers
Nitro,Squidlett Overdrive,Rainmaker on Port Mackerel,Tower Control on Camp Triggerfish,Clam Blitz on Musselforge Fitness,Splat Zones on Walleye Warehouse,Rainmaker on MakoMart,Tower Control on The Reef,Clam Blitz on Starfish Mainstage,Splat Zones on Inkblot Art Academy,Rainmaker on Shellendorf Institute
Blink Gaming,Watch Me Whiprays,Tower Control on The Reef,Rainmaker on Moray Towers,Splat Zones on Goby Arena,Clam Blitz on Inkblot Art Academy,Tower Control on Sturgeon Shipyard,Rainmaker on Shellendorf Institute,Splat Zones on Humpback Pump Track,Clam Blitz on Musselforge Fitness,Tower Control on Manta Maria
The Sea Words,Depth First Squids,Splat Zones on Goby Arena,Tower Control on Manta Maria,Rainmaker on MakoMart,Splat Zones on Walleye Warehouse,Tower Control on The Reef,Rainmaker on Camp Triggerfish,Splat Zones on MakoMart,Tower Control on Arowana Mall,Rainmaker on Sturgeon Shipyard
Violet Xenon,Calamity Forge,Clam Blitz on Musselforge Fitness,Splat Zones on Inkblot Art Academy,Rainmaker on Kelp Dome,Tower Control on The Reef,Clam Blitz on Inkblot Art Academy,Splat Zones on Humpback Pump Track,Rainmaker on Manta Maria,Tower Control on Snapper Canal,Clam Blitz on Piranha Pit
Raging ink,ViceVersa,Rainmaker on Moray Towers,Tower Control on Arowana Mall,Clam Blitz on Blackbelly Skatepark,Splat Zones on Walleye Warehouse,Rainmaker on Manta Maria,Tower Control on Sturgeon Shipyard,Clam Blitz on Arowana Mall,Splat Zones on Humpback Pump Track,Rainmaker on Sturgeon Shipyard
